a,b
-210.0,0.0
-208.29522324457514,0.00017539073157451276
-206.58544714382643,0.00037026932221236795
-204.87567104307774,0.0005846357719141194
-203.17089428765289,0.0008184900806797672
-201.46111818690417,0.0010328565303817955
-199.75134208615546,0.0012667108391474435
-198.0465653307306,0.001539540866040607
-196.33678922998192,0.0017539073157426352
-194.63201247455706,0.002065713060763591
-192.9272357191322,0.0023385430876567545
-191.2224589637073,0.002630860973613814
-189.5176822082824,0.0029426667186344935
-187.80290676220986,0.003293448181782965
-186.09813000678494,0.003605253926803921
-182.68357715061137,0.00434579257122838
-180.97380104986266,0.004774525470631883
-179.26902429443777,0.005183770510972043
-175.85447143826417,0.006119187746034635
-174.14469533751546,0.006625872081693446
-172.43991858209057,0.007152044276416154
-170.73014248134186,0.007736680048330273
-169.02536572591694,0.00834080367930829
-165.61081286974337,0.009704953813774382
-163.90103676899466,0.010484468176326357
-162.19126066824595,0.011283470397942228
-160.48648391282106,0.012160424055813685
-158.77670781207237,0.013115329149939894
-157.07693040197128,0.014128697821257793
-155.36715430122257,0.015239505787894344
-153.66237754579768,0.016447753049850376
-151.95260144504897,0.017792415325252574
-150.24282534430026,0.019234516895974253
-148.5380485888754,0.020813033480142098
-146.8282724881267,0.02254745293682056
-145.12349573270177,0.024476750984137152
-143.4187189772769,0.0266204154811555
-141.7089428765282,0.028978446427875875
-139.99916677577949,0.03157033168336162
-138.29439002035457,0.03449351054293194
-136.58461391960586,0.03772849514752322
-134.879837164181,0.04133374907432686
-133.17006106343229,0.04534824804147066
-131.46028496268357,0.04973301633082628
-129.75550820725869,0.05462446895584099
-128.04573210650997,0.059964142339323095
-126.34095535108509,0.06579101219940012
-126.34095535108509,0.06579101219940012
-124.63117925033639,0.0720271270998173
-122.92640249491149,0.07863351132244657
-121.22162573948658,0.08551272557196901
-119.51184963873789,0.09254784269400206
-117.80707288331301,0.09958295981603484
-116.0972967825643,0.10640371048836586
-114.39252002713938,0.11281521612035728
-112.68774327171451,0.11858362240324288
-110.97796717096581,0.1234750750282576
-109.2681910702171,0.127294695404763
-107.5634143147922,0.12992555637837624
-105.85363821404349,0.13123124293565122
-104.1438621132948,0.13000350781463155
-102.43408601254609,0.12770394044510258
-100.7293092571212,0.12446895584051132
-99.01953315637249,0.12059087188681479
-97.30975705562378,0.1162840550337142
-95.60498030019889,0.11176287173091186
-93.89520419945018,0.10720271270998173
-92.1904274440253,0.1027594808434347
-90.48565068860044,0.09862805472190862
-88.77587458785173,0.09484741006353074
-87.07109783242684,0.09143703472736524
-85.36632107700194,0.08851385586779491
-83.66154432157705,0.0859804341895003
-81.95176822082834,0.08389523326967337
-80.24199212007963,0.08221927739018632
-78.53721536465476,0.08099154226916666
-76.82743926390604,0.08013407647035939
-75.12266250848116,0.07962739213470058
-73.41288640773244,0.07949097712125386
-71.70311030698373,0.07968585571189199
-69.99833355155884,0.0801925400475508
-68.28855745081013,0.08105000584635808
-66.58378069538526,0.08219978953112242
-64.87400459463655,0.08370035467903551
-63.164228493887826,0.08547374985384149
-61.459451738462946,0.08763690220992373
-59.754674983038065,0.09011186031102665
-58.04489888228935,0.09293759987527804
-56.34012212686444,0.0961141209026782
-54.63034602611575,0.09969988697041794
-52.92556927069085,0.10373387379662509
-51.22079251526597,0.10817710566317239
-49.51101641451726,0.11310753400631461
-47.80623965909237,0.11858362240324316
-46.09646355834366,0.12462485871302222
-44.386687457594945,0.13128970651284289
-42.681910702170065,0.13867560509802443
-42.681910702170065,0.13867560509802443
-40.97213460142133,0.14682153018669403
-39.26735784599647,0.1558444089332351
-37.55758174524776,0.16584168063296598
-35.85280498982283,0.17694976029933396
-34.14302888907412,0.18928557508672134
-32.433252788325426,0.20306349144483038
-30.728476032900566,0.21847838796429866
-29.02369927747564,0.23580309467201968
-27.313923176726927,0.2553689051720782
-25.604147075978215,0.2776435280820053
-23.899370320553377,0.30317262345558765
-22.19459356512845,0.3328136570916324
-20.484817464379738,0.36779436411115896
-18.775041363631026,0.4099855789842931
-17.070264608206166,0.46232996842966845
-15.365487852781236,0.5287835678372378
-13.6607110973564,0.6088591807304051
-11.950934996607687,0.6780410804069066
-10.241158895858975,0.7199204895350197
-8.536382140434116,0.7681919164360606
-6.826606039685333,0.8243364383988776
-5.121829284260498,0.8858401216042405
-3.412053183511785,0.9356900650894494
-1.7072764280868558,0.9798105780098998
0.002499672661786523,0.993101297891414
1.7122757734105454,1.0
3.412053183511552,0.9751334918345871
5.126828629584117,0.9456288732119891
6.83160538500907,0.8963245897805668
8.536382140433929,0.8433371009860857
10.246158241182595,0.7693806758389524
11.950934996607547,0.688213742838212
13.660711097356167,0.6070078341193439
15.370487198104971,0.5319016252874459
17.07526395352983,0.47041742994114666
18.785040054278497,0.4205674864559381
20.484817464379596,0.3792532252406752
22.194593565128308,0.3442725182211483
23.90436966587702,0.31418326382663614
25.60914642130188,0.2880305569630122
27.318922522050546,0.26501539540866065
29.023699277475497,0.24470904626417764
30.73347537822421,0.22668277663015968
32.43825213364907,0.21058580504345806
34.143028889073975,0.1962037650543713
35.85780433514645,0.1832833144950698
37.5625810905714,0.17162957477491547
39.26735784599631,0.1611256187395255
40.97713394674497,0.15165451923451703
42.68691004749373,0.14307986124644365
42.68691004749373,0.14307986124644365
44.39168680291859,0.13532369333905003
46.101462903667304,0.128288576217017
47.806239659092206,0.12191604630315336
49.516015759840876,0.11616712787933138
51.22579186058963,0.1109443816502321
52.93056861601449,0.1062283197567919
54.6403447167632,0.10196047862181883
56.34012212686426,0.09816034610437734
