a,b
-197.6,0.03160848652541406
-196.0063740820127,0.02525363681158317
-194.4080747742366,0.07438887541219721
-192.81444885624933,0.061717458211727236
-191.21614954847323,0.02913928287154602
-189.6178502406971,0.03088112420877076
-188.02422432270984,0.023818053291892478
-186.43059840472256,0.03867155744229235
-184.83229909694646,0.02645952696812342
-183.23399978917038,0.037637937308115064
-181.64504726097192,0.03036431414168209
-180.04674795319582,-0.0031900579918887713
-178.45312203520854,-0.0101
-176.85482272743243,0.0097110525717318
-175.26119680944518,-0.006214353940037157
-173.66289750166902,0.01736749801008223
-172.0692715836818,0.027761122692642953
-170.4709722759057,0.04699794185649851
-168.87267296812956,0.012965041883030708
-167.27904705014228,0.05134297464276233
-165.68074774236618,0.04198297009437896
-164.08712182437893,0.02986664518818932
-162.48882251660282,0.015625656672857476
-160.89052320882672,0.03313977561308419
-159.29689729083944,0.03855671076071709
-157.70327137285219,0.05082616457567373
-156.10497206507608,0.0549032217715953
-154.50667275729998,0.027837687147026485
-152.91304683931267,0.03723597392260166
-151.31474753153657,0.022152776409051257
-149.71644822376047,0.039800883144449066
-148.127495695562,0.03202959102452338
-146.53386977757478,0.04062395102907172
-144.93557046979865,0.037886771784861425
-143.34194455181137,0.038078182920820214
-141.74364524403526,0.056262240836902525
-140.14534593625916,0.07431231095781375
-138.55172001827194,0.07582445893188793
-136.95342071049578,0.05855917446840768
-135.35512140271967,0.07603501118144261
-133.7614954847324,0.07461856877534774
-132.1631961769563,0.07021611264829622
-130.56957025896904,0.10003796763067124
-128.9712709511929,0.0772791835651745
-127.37764503320564,0.08298323541674564
-125.77934572542954,0.07228335291665086
-124.18571980744225,0.08445710116362806
-122.58742049966618,0.10566545502785883
-120.9937945816789,0.11267110260394955
-119.4001686636916,0.11793490884281548
-119.4001686636916,0.11793490884281548
-117.8018693559155,0.0998656976083084
-116.20357004813941,0.10876631543039081
-114.61461751994098,0.1013012811279991
-113.01631821216488,0.11188631694651863
-111.42269229417755,0.12425147632945456
-109.82439298640148,0.1410956562938256
-108.22609367862536,0.1430863321077967
-106.63246776063814,0.12448116969260507
-105.03416845286202,0.13188878065420914
-103.43586914508595,0.13146767615509988
-101.8422432270986,0.13194620399499676
-100.2439439193225,0.1214568737444567
-98.65031800133526,0.12210767160671646
-97.05201869355918,0.1202509835879165
-95.45839277557187,0.12201196603873708
-93.86009346779576,0.1110632490618959
-92.26646754980851,0.11077613235795782
-90.66816824203242,0.07934642383352922
-89.0745423240451,0.08817047720122809
-87.47624301626901,0.08761538490694766
-85.87794370849291,0.06627304324754582
-84.28431779050567,0.09318544896334763
-82.68601848272957,0.0780448281090096
-81.09706595453109,0.0787913315392488
-79.498766646755,0.0861989425008528
-77.90514072876772,0.09000802410643219
-76.30684142099162,0.06081782587272111
-74.71321550300432,0.08683059924951674
-73.11491619522823,0.09756876397680325
-71.51661688745213,0.09067796308228786
-69.92299096946486,0.1049189515976197
-68.32469166168877,0.056951320926354104
-66.73106574370148,0.0915201720805064
-65.13276643592539,0.07814053367698898
-63.539140517938115,0.09464017359663422
-61.94084121016202,0.09318544896334763
-60.347215292174724,0.09217096994276618
-58.74891598439863,0.07898274267520752
-57.15529006641134,0.0691442102869272
-55.556990758635244,0.0933002956449229
-53.95869145085915,0.1191407989993557
-52.36506553287188,0.12884534359246486
-50.76676622509578,0.10635453511731038
-49.17314030710849,0.10874717431679491
-47.57951438912122,0.1322524618125308
-45.985888471133975,0.12095920479096392
-44.38758916335787,0.15133615206761933
-42.78928985558178,0.13673148239396582
-41.19566393759447,0.1482161505514915
-39.59736462981837,0.17442033506424592
-39.59736462981837,0.17443947617784175
-38.003738711831126,0.1701901489595573
-36.40543940405502,0.1841823029981427
-34.81181348606771,0.20416562559223733
-33.21351417829162,0.17566450744797782
-31.615214870515523,0.2128748322783611
-30.021588952528273,0.24840073911230723
-28.427963034540962,0.24776908236364328
-26.829663726764867,0.27039387863396896
-25.23603780877762,0.27856713413940787
-23.637738501001525,0.313346537543115
-22.039439193225427,0.3544233673198651
-20.445813275238113,0.3871738126824092
-18.84751396746202,0.4374575180987757
-17.253888049474746,0.48718613122086185
-15.655588741698677,0.5478634613197892
-14.06196282371134,0.611258829549331
-12.46833690572409,0.6675337035212068
-10.870037597947995,0.7305462494788311
-9.276411679960681,0.7842753553424553
-7.678112372184587,0.8409713338134406
-6.079813064408491,0.8870631353523103
-4.486187146421242,0.9116403252094154
-2.8878878386451476,0.9326572679376873
-1.294261920657833,0.953099977258083
0.29936399732941493,0.9722985141947468
1.89766330510551,0.9921669901072661
3.491289223092758,0.9999
5.0895885308689195,0.9834003600803549
6.68321444885619,0.942878622597885
8.281513756632261,0.9055151688587348
9.879813064408381,0.8615097487018157
11.473438982395693,0.7890414926278285
13.071738290171767,0.7039975249213509
14.665364208159039,0.6024156350680363
16.26366351593511,0.5189220975628245
17.861962823711227,0.4660543418110146
19.450915351909696,0.4094349277944131
21.049214659685767,0.3783497593147102
22.64284057767308,0.33287047341090853
24.241139885449197,0.3024743850206572
25.839439193225274,0.271293510972975
27.433065111212546,0.24061030587878557
29.02669102919986,0.2416056437857711
30.624990336975973,0.21270256225599818
32.2186162549632,0.22590993063715267
33.81691556273932,0.2096017018534663
35.41521487051539,0.19174304286851385
37.0088407885027,0.18799138460372217
38.60714009627882,0.15698278057840287
40.20076601426605,0.16611309176363573
40.20076601426605,0.16613223287723156
41.79906532204217,0.1372674335746503
43.397364629818235,0.10846005761285668
44.99099054780555,0.136999457984308
46.58928985558167,0.1097425122237804
48.1829157735689,0.11424067391881126
49.78121508134502,0.11592509191524838
51.37484099933233,0.10361735587310002
52.96846691731956,0.08122225296592492
54.56676622509568,0.09657342606981757
56.16039214308299,0.09075452753667118
57.754018061070255,0.08323206989349184
59.35231736884633,0.07678151461168153
60.95061667662241,0.09176900655725256
62.54424259460977,0.05612825304173117
64.13786851259698,0.0629424894818631
65.73616782037311,0.06481831861425895
67.33446712814919,0.1024880301709431
68.9280930461365,0.07616899897661342
70.52639235391261,0.09542495925406481
72.12001827189982,0.07689636129325667
73.71831757967595,0.04494984270173944
75.31661688745203,0.0766092445893185
76.91024280543935,0.08439967782284002
78.50854211321546,0.09079280976386271
80.10216803120268,0.06964187924041965
81.7004673389788,0.08510789902588756
83.29409325696612,0.06275107834590424
84.8923925647422,0.07057979380661757
86.48134509294066,0.06604334988439489
88.07964440071669,0.10024851988022553
89.67794370849285,0.10208606678542956
91.27156962648013,0.1185282833642872
92.8651955444674,0.06858911799264633
94.46349485224354,0.10690962741159038
96.05712077023077,0.1303766326801345
97.6554200780069,0.13475994769359012
99.25371938578297,0.12319871508168097
100.84734530377024,0.14010031838683965
102.4456446115464,0.14279921540385812
104.03927052953362,0.14099995072584573
105.63756983730978,0.10780925975059658
107.2358691450859,0.13491307660235718
108.82949506307314,0.11236484478641509
110.42779437084924,0.12507454421407688
112.02142028883655,0.11588680968805631
113.61971959661264,0.10993392335973885
115.21334551459991,0.10597171284539246
116.81164482237598,0.09152017208050593
118.40527074036329,0.11291993708069549
119.99889665835056,0.06935476253648143
119.99889665835056,0.06937390365007733
121.59252257633788,0.10922570215669138
123.19082188411393,0.10059305992495131
124.78912119189006,0.08173906303301326
126.38274710987734,0.059899052420118615
127.98104641765342,0.03262296554599511
129.5746723356407,0.051802361369063035
131.17297164341684,0.07576703559109994
132.76659756140407,0.0711540272144938
134.369570258969,0.062406538301178385
135.96319617695627,0.0027054049956406656
137.55682209494358,-0.007649937459728261
139.1551214027197,0.03367572679376829
140.7487473207069,0.02092774513891478
142.34704662848304,0.021884800818708597
143.9453459362591,0.04462444377060942
145.5389718542464,0.04106419664177646
147.13727116202253,0.017846025849978693
148.73089708000975,0.051036716825227875
150.32919638778588,0.03591523708448574
151.92749569556196,0.018822222643368344
153.51644822376042,0.020276947276654942
155.11474753153655,0.03863327521510015
156.71304683931263,0.05046248341735164
158.30667275729994,0.005825406511768481
159.9002986752872,0.04577291058636196
161.4985979830633,0.015242834400939556
163.09222390105063,0.014190073153166373
164.69052320882668,0.019798419436758065
166.28414912681396,0.02391375885987143
167.88244843459003,0.03903523860061356
169.47607435257734,0.028584190577265203
171.07437366035347,0.009711052571731323
172.67267296812955,0.028986153962778618
174.26629888611683,0.03319719895387134
175.864598193893,0.02402860554144669
177.4582241118802,0.014630318765871519
179.05652341965634,0.04745732858279909
180.6548227274324,0.07031181821627518
182.24844864541967,0.07222592957586281
183.84207456340695,0.04462444377060942
185.44037387118306,0.030574866391236306
187.0339997891703,0.04540922942804035
188.62762570715762,0.02846934389568994
190.2259250149337,0.021253144070044663
191.81955093292098,0.027129465943978675
193.41785024069713,0.021425414092407554
195.01147615868442,0.037044562786642456
196.6097754664605,0.019319891596861188
198.20807477423656,0.013941238676420017
199.80170069222385,0.04598346283591665
199.80170069222385,0.04598346283591665
201.39999999999998,0.030708854186407467
