x1	x2	x3	x4	x5	x6	x7	x8	x9	x10
0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
0.010101010101010102	0.1144330923000685	0.08091641555752453	0.08091641555752453	0.1809163861838415	0.1144330923000685	0.08091641555752455	0.22883737668109588	0.11441868834054794	0.11441868834054793
0.020202020202020204	0.22883737668109588	0.16181246084014322	0.16181246084014322	0.3616779390820643	0.22883737668109588	0.16181246084014322	0.4574443335215916	0.22872216676079588	0.2287221667607958
0.0303030303030303	0.34318405247632033	0.2426677707010861	0.2426677707010861	0.5421300019695775	0.34318405247632033	0.2426677707010861	0.6855906826941264	0.34279534134706324	0.34279534134706313
0.04040404040404041	0.4574443335215916	0.3234619902484781	0.3234619902484781	0.7221182711134606	0.4574443335215916	0.3234619902484781	0.9130467001642215	0.45652335008211087	0.45652335008211076
0.050505050505050504	0.5715894554022007	0.4041747799696218	0.4041747799696218	0.9014889719472426	0.5715894554022007	0.40417477996962176	1.1395833570029044	0.5697916785014522	0.569791678501452
0.0606060606060606	0.6855906826941265	0.48478582085133143	0.48478582085133143	1.0800890348598466	0.6855906826941265	0.4847858208513313	1.364972549999432	0.682486274999716	0.6824862749997158
0.07070707070707072	0.7994193161980528	0.565274819495156	0.565274819495156	1.257766270472289	0.7994193161980528	0.565274819495156	1.5889873313418765	0.7944936656709385	0.794493665670938
0.08080808080808081	0.9130467001642215	0.6456215132261214	0.6456215132261214	1.4343695442764506	0.9130467001642215	0.6456215132261215	1.8114021371343503	0.9057010685671754	0.9057010685671747
0.0909090909090909	1.026444229506369	0.7258056751937543	0.7258056751937543	1.6097489505118334	1.026444229506369	0.7258056751937543	2.031993014520713	1.0159965072603567	1.0159965072603563
0.10101010101010101	1.1395833570029044	0.8058071194640838	0.8058071194640838	1.783755985158168	1.1395833570029044	0.8058071194640838	2.250537847186126	1.125268923593063	1.1252689235930626
0.1111111111111111	1.2524356004835224	0.8856057061013444	0.8856057061013444	1.9562437179239582	1.2524356004835224	0.8856057061013444	2.4668165790093473	1.2334082895046738	1.2334082895046736
0.1212121212121212	1.364972549999432	0.9651813462380922	0.9651813462380922	2.1270669631136525	1.364972549999432	0.9651813462380925	2.680611435640593	1.3403057178202966	1.3403057178202964
0.13131313131313133	1.4771658749754102	1.0445140071324723	1.0445140071324723	2.2960824492590484	1.4771658749754102	1.0445140071324728	2.8917071437818507	1.4458535718909256	1.4458535718909251
0.14141414141414144	1.588987331341877	1.1235837172113565	1.1235837172113565	2.4631489874037813	1.588987331341877	1.1235837172113563	3.099891147948839	1.54994557397442	1.5499455739744192
0.15151515151515152	1.7004087686451865	1.2023705710980785	1.2023705710980785	2.6281276379333796	1.7004087686451865	1.2023705710980785	3.304953824496362	1.6524769122481813	1.652476912248181
0.16161616161616163	1.8114021371343507	1.2808547346235037	1.2808547346235037	2.790881875847285	1.8114021371343507	1.2808547346235037	3.506688692691558	1.753344346345779	1.7533443463457787
0.1717171717171717	1.9219394948224164	1.359016449819178	1.359016449819178	2.9512777543735833	1.9219394948224164	1.359016449819178	3.704892622622485	1.8524463113112426	1.8524463113112424
0.1818181818181818	2.0319930145207135	1.436836039891291	1.436836039891291	3.109184066831835	2.0319930145207135	1.4368360398912907	3.899366039732732	1.949683019866366	1.9496830198663655
0.1919191919191919	2.141534990844195	1.5142939141742013	1.5142939141742013	3.2644725066544407	2.141534990844195	1.5142939141742011	4.089913125776073	2.044956562888036	2.044956562888036
0.20202020202020202	2.250537847186126	1.5913705730622836	1.5913705730622836	3.417017825482384	2.250537847186126	1.5913705730622836	4.276342015988847	2.138171007994424	2.1381710079944236
0.2121212121212121	2.358974142660342	1.6680466129188498	1.6680466129188498	3.5666979892570017	2.358974142660342	1.6680466129188498	4.458464992281512	2.229232496140756	2.2292324961407557
0.2222222222222222	2.4668165790093473	1.7443027309609103	1.7443027309609103	3.7133943322355702	2.4668165790093473	1.7443027309609107	4.636098672254844	2.3180493361274226	2.3180493361274217
0.23232323232323232	2.5740380074765046	1.8201197301185457	1.8201197301185457	3.856991708865104	2.5740380074765046	1.8201197301185457	4.809064193850472	2.404532096925236	2.404532096925235
0.2424242424242424	2.6806114356405932	1.89547852386767	1.89547852386767	3.997378643455707	2.6806114356405932	1.8954785238676706	4.977187395449809	2.4885936977249044	2.488593697724904
0.25252525252525254	2.7865100342109987	1.9703601410349558	1.9703601410349558	4.134447477602172	2.7865100342109987	1.9703601410349556	5.140298991240036	2.5701494956200186	2.5701494956200186
0.26262626262626265	2.8917071437818507	2.0447457305737293	2.0447457305737293	4.2680945153103185	2.8917071437818507	2.0447457305737293	5.298234741670574	2.6491173708352873	2.6491173708352855
0.27272727272727276	2.996176281543383	2.1186165663096204	2.1186165663096204	4.398220165792708	2.996176281543383	2.1186165663096195	5.4508356188283775	2.725417809414189	2.7254178094141888
0.2828282828282829	3.0998911479488385	2.191954051654775	2.191954051654775	4.524729083906967	3.0998911479488385	2.1919540516547746	5.59794796656557	2.798973983282785	2.7989739832827842
0.29292929292929293	3.2028256333352405	2.264739724289447	2.264739724289447	4.647530308218929	3.2028256333352405	2.264739724289447	5.73942365521816	2.86971182760908	2.86971182760908
0.30303030303030304	3.304953824496362	2.3369552608097925	2.3369552608097925	4.7665373966821685	3.304953824496362	2.3369552608097925	5.875120230760059	2.9375601153800295	2.9375601153800295
0.31313131313131315	3.4062500112062337	2.4085824813406815	2.4085824813406815	4.881668559935258	3.4062500112062337	2.4085824813406815	6.004901058242197	3.002450529121099	3.002450529121098
