x,Curve1,Curve2
-3.9349,-0.08309,-0.28217
-1.9471,-0.25637,-0.42587
-1.3228,-0.45007,-0.75283
-0.6643,-0.88388,-1.05792
-0.1881,-1.00525,-1.16315
0.131,-0.99831,-1.12841
0.6395,-0.79119,-0.91568
1.2613,-0.41991,-0.55617
1.9084,-0.23096,-0.48367
3.925,0.01812,-0.16456
11.7389,0.04897,-0.14757
