TDBC_NaOH_c5_abs,,
Wavelength (nm),Abs,
1200,-0.00219722488,
1199,-0.002099652542,
1198,-0.001982062822,
1197,-0.001823972678,
1196,-0.001909803133,
1195,-0.001661595772,
1194,-0.001588921528,
1193,-0.001515874057,
1192,-0.001527017681,
1191,-0.001308684587,
1190,-0.001328865997,
1189,-0.001216178527,
1188,-0.001137130195,
1187,-0.0009765624418,
1186,-0.0009221656364,
1185,-0.000588093244,
1184,-0.0004998808727,
1183,-0.0006126509397,
1182,-0.0004062196531,
1181,-0.0002243733761,
1180,-0.0001403310453,
1179,0.0001743252069,
1178,0.0002506743767,
1177,0.0003159496118,
1176,0.0004096055636,
1175,0.0006832018844,
1174,0.0008275080472,
1173,0.0009357237723,
1172,0.001136196428,
1171,0.001179904793,
1170,0.001425989089,
1169,0.001658284804,
1168,0.001774115488,
1167,0.001845781109,
1166,0.00214091246,
1165,0.00221386156,
1164,0.002429242013,
1163,0.002393034287,
1162,0.002767753089,
1161,0.002859776607,
1160,0.003096464556,
1159,0.003243035404,
1158,0.003380759619,
1157,0.003630391788,
1156,0.003738551168,
1155,0.003629321465,
1154,0.003640493844,
1153,0.003888499225,
1152,0.003824330168,
1151,0.003687666031,
1150,0.00391830178,
1149,0.003727950621,
1148,0.00364360027,
1147,0.003545590444,
1146,0.003403978888,
1145,0.003318308853,
1144,0.003359446069,
1143,0.003283878788,
1142,0.003023132449,
1141,0.002998552285,
1140,0.002951376606,
1139,0.002898394829,
1138,0.00278479117,
1137,0.002716695191,
1136,0.002564338734,
1135,0.002603008877,
1134,0.002543690149,
1133,0.002721175551,
1132,0.002569286386,
1131,0.002676895121,
1130,0.002492424333,
1129,0.00241843937,
1128,0.002475606045,
1127,0.002425103216,
1126,0.002293614903,
1125,0.002423228929,
1124,0.002213133033,
1123,0.002374632051,
1122,0.002222655807,
1121,0.002316906117,
1120,0.00233030878,
1119,0.002371821087,
1118,0.00236297166,
1117,0.00240805326,
1116,0.002261399524,
1115,0.002298559295,
1114,0.002255544765,
1113,0.002220340073,
1112,0.002151526278,
1111,0.002285573864,
1110,0.002057806123,
1109,0.00224924786,
1108,0.002076766919,
1107,0.002136099851,
1106,0.00198623538,
1105,0.00215493422,
1104,0.002020042622,
1103,0.002121038269,
1102,0.00207408797,
1101,0.002075076336,
1100,0.002166693099,
1099,0.002176787006,
1098,0.001857323572,
1097,0.0021154196,
1096,0.002176787006,
1095,0.001963013783,
1094,0.002112402115,
1093,0.002102777828,
