TDBC_NaOH_c3_abs,,
Wavelength (nm),Abs,
1200,-5.259710088E-5,
1199,-7.920384087E-5,
1198,-0.0001563231053,
1197,4.338705185E-5,
1196,-1.061311741E-5,
1195,-4.64369441E-5,
1194,-4.798993541E-5,
1193,-4.633341086E-5,
1192,-0.0001599458337,
1191,-6.781594129E-5,
1190,-0.0001299798751,
1189,-0.0002000524546,
1188,-0.0002536601678,
1187,-0.0001872187422,
1186,-0.0001968440629,
1185,-0.0002055377117,
1184,-0.0001147632211,
1183,-0.0002186813654,
1182,-0.0001464381203,
1181,-0.0001303939353,
1180,-0.0001364493946,
1179,-0.0002512800565,
1178,-0.0001672946673,
1177,-0.0002513835207,
1176,-0.0002079180849,
1175,-0.0001072064479,
1174,-7.878973702E-5,
1173,-0.000234360079,
1172,-9.659569332E-5,
1171,-0.0002005181886,
1170,-0.0001720558357,
1169,-0.0001528556313,
1168,-0.0001800772297,
1167,-0.0003604936646,
1166,-0.0002758567862,
1165,-0.0002410350135,
1164,-0.0002076076053,
1163,-0.0001775932033,
1162,-6.921356544E-5,
1161,-0.0002998630516,
1160,-0.0001616019144,
1159,-0.0002506591263,
1158,-0.0002099879785,
1157,-0.0002076593519,
1156,-2.712764763E-5,
1155,-0.0001200942861,
1154,-4.990528032E-5,
1153,-0.0002728559193,
1152,-2.950900125E-5,
1151,-4.783463373E-5,
1150,2.15635464E-5,
1149,1.144174894E-5,
1148,3.380839189E-5,
1147,6.241555093E-5,
1146,-2.588589041E-6,
1145,3.984033174E-5,
1144,0.0001429140539,
1143,0.0002973762457,
1142,0.0003257935459,
1141,0.0004622846027,
1140,0.0005608968204,
1139,0.0006564981304,
1138,0.0005487925955,
1137,0.0006001665024,
1136,0.0004605743161,
1135,0.0007544024847,
1134,0.0007552063325,
1133,0.0009330777102,
1132,0.000999493408,
1131,0.001076299231,
1130,0.0009063586476,
1129,0.001018304378,
1128,0.0009890374495,
1127,0.001091713901,
1126,0.0008871893515,
1125,0.001208016416,
1124,0.001144008478,
1123,0.001095943968,
1122,0.001126853167,
1121,0.001253756927,
1120,0.001163889887,
1119,0.001298567629,
1118,0.001229484333,
1117,0.001245475491,
1116,0.001321675722,
1115,0.001345486147,
1114,0.00134631712,
1113,0.001349952421,
1112,0.001326609054,
1111,0.001208743197,
1110,0.001357586589,
1109,0.001333360095,
1108,0.001079023932,
1107,0.001230340917,
1106,0.001398928114,
1105,0.00129179121,
1104,0.001323415432,
1103,0.001397421816,
1102,0.001167705399,
1101,0.001290441141,
1100,0.00143902679,
1099,0.001283924445,
1098,0.001295452006,
1097,0.00132372696,
1096,0.001312925713,
