TITLE;TDBC_NaOH_c0_1mmK_em
DATA TYPE;FLUORESCENCE SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;14/03/18
TIME;14:57:06
SPECTROMETER/DATA SYSTEM;
LOCALE;1031
RESOLUTION;
DELTAX;1
XUNITS;NANOMETERS
YUNITS;INTENSITY
FIRSTX;  570,0000
LASTX;  900,0000
NPOINTS;     331
FIRSTY;   617,04901
MAXY; 13833,46875
MINY;  -232,90608
XYDATA
828,0000;-91,2391
829,0000;-94,356
830,0000;-95,5077
831,0000;-97,6883
832,0000;-99,7553
833,0000;-101,508
834,0000;-103,476
835,0000;-105,018
836,0000;-107,031
837,0000;-108,516
838,0000;-110,745
839,0000;-112,383
840,0000;-114,824
841,0000;-116,854
842,0000;-118,218
843,0000;-119,973
844,0000;-122,166
845,0000;-124,494
846,0000;-125,983
847,0000;-128,861
848,0000;-129,429
849,0000;-132,618
850,0000;-132,932
851,0000;-134,454
852,0000;-137,649
853,0000;-139,737
854,0000;-140,747
855,0000;-144,354
856,0000;-144,852
857,0000;-147,21
858,0000;-148,046
859,0000;-152,256
860,0000;-152,208
861,0000;-154,321
862,0000;-155,483
863,0000;-157,877
864,0000;-159,324
865,0000;-161,19
866,0000;-161,544
867,0000;-163,821
868,0000;-166,452
869,0000;-167,267
870,0000;-169,651
871,0000;-171,248
872,0000;-171,595
873,0000;-174,966
874,0000;-178,904
875,0000;-178,675
876,0000;-180,276
877,0000;-182,165
878,0000;-183,942
879,0000;-186,706
880,0000;-186,913
881,0000;-188,473
882,0000;-190,86
883,0000;-191,971
884,0000;-193,122
885,0000;-193,177
886,0000;-196,324
887,0000;-196,619
888,0000;-199,905
889,0000;-201,245
890,0000;-203,541
891,0000;-206,038
892,0000;-205,796
893,0000;-207,973
894,0000;-208,569
895,0000;-212,648
896,0000;-215,401
897,0000;-220,163
898,0000;-224,678
899,0000;-231,67
900,0000;-232,906

##### Extended Information
[Comments]
Sample name;TDBC_NaOH_c0_1mmK_em
Comment
User
Division
Company;Microsoft

[Detailed Information]
Creation date;18.03.2014 14:57

Data array type;Linear data array
Horizontal axis;Wavelength [nm]
Vertical axis;Int.
Start;570 nm
End;900 nm
Data interval;1 nm
Data points;331     

[Measurement Information]
Model name;FP-8600
Serial No.;C003561454
  Ex filter holder;None
  Em filter holder;None

Accessory;SCE-846
Accessory S/N;C002561454

Accessory;FDP-837
Accessory S/N;
  Polarizer;Ex 0 degree, Em 0 degree

Measurement date;18.03.2014 14:57

Mode;Emission
Ex bandwidth;5 nm
Em bandwidth;5 nm
Response;0.5 sec
Sensitivity;Low
Measurement range;570 - 900 nm
Data interval;1 nm
Ex wavelength;560.0 nm
Scan speed;100 nm/min
Auto gain;Off
Shutter control;Open only for measurement
Light source;Xe lamp
Filter;Stop scan for exchanging filter
Blank correction;Off
Spectral correction;On
Ex correction data;Ex-PL-Wlamp-P0deg_5nm
Em correction data;Em_Hal-lamp_P0deg_5nm

