TITLE;TDBC_NaOH_c1_1mmK_em
DATA TYPE;FLUORESCENCE SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;14/03/18
TIME;15:08:40
SPECTROMETER/DATA SYSTEM;
LOCALE;1031
RESOLUTION;
DELTAX;1
XUNITS;NANOMETERS
YUNITS;INTENSITY
FIRSTX;  570,0000
LASTX;  900,0000
NPOINTS;     331
FIRSTY;   438,05569
MAXY; 10429,32129
MINY;   -47,19167
XYDATA
570,0000;438,056
571,0000;521,349
572,0000;621,066
573,0000;739,892
574,0000;879,839
575,0000;1044,46
576,0000;1245,12
577,0000;1474,05
578,0000;1738,96
579,0000;2036,55
580,0000;2376,34
581,0000;2755,04
582,0000;3181,65
583,0000;3663,1
584,0000;4206,14
585,0000;4805,17
586,0000;5467,06
587,0000;6197,21
588,0000;7014,23
589,0000;7894,41
590,0000;8803,72
591,0000;9624,88
592,0000;10210
593,0000;10429,3
594,0000;10209,5
595,0000;9592,7
596,0000;8693,29
597,0000;7668,89
598,0000;6652,97
599,0000;5728,16
600,0000;4915,87
601,0000;4232,4
602,0000;3682,17
603,0000;3241,02
604,0000;2883,82
605,0000;2598,73
606,0000;2364,01
607,0000;2167,81
608,0000;2000,95
609,0000;1851,04
610,0000;1711,86
611,0000;1589,8
612,0000;1479,67
613,0000;1383,51
614,0000;1302,95
615,0000;1234,94
616,0000;1181,18
617,0000;1137,21
618,0000;1100,95
619,0000;1070,32
620,0000;1042,42
621,0000;1017,37
622,0000;995,428
623,0000;973,219
624,0000;954,968
625,0000;936,507
626,0000;917,64
627,0000;898,897
628,0000;873,856
629,0000;843,098
630,0000;802,58
631,0000;758,457
632,0000;711,124
633,0000;662,608
634,0000;617,768
635,0000;577,988
636,0000;544,556
637,0000;514,789
638,0000;485,049
639,0000;455,869
640,0000;427,079
641,0000;396,839
642,0000;366,584
643,0000;335,773
644,0000;306,084
645,0000;275,948
646,0000;248,009
647,0000;222,296
648,0000;198,073
649,0000;175,663
650,0000;156,172
651,0000;139,651
652,0000;126,78
653,0000;116,141
654,0000;107,973
655,0000;100,847
656,0000;95,129
657,0000;89,9695
658,0000;85,0793
659,0000;81,0037
660,0000;77,0094
661,0000;73,6179
662,0000;70,5308
663,0000;67,5048
664,0000;65,2094
665,0000;62,8794
666,0000;60,8636
667,0000;58,9703
668,0000;57,3969
669,0000;56,1898
670,0000;54,9968
671,0000;53,8744
672,0000;52,6414
673,0000;51,3292
674,0000;50,9395
675,0000;50,0774
676,0000;49,031
677,0000;48,1711
678,0000;47,536
679,0000;46,4355
680,0000;45,8267
681,0000;44,7846
682,0000;43,7396
683,0000;42,4316
684,0000;41,7413
685,0000;40,653
686,0000;39,6171
687,0000;38,7462
688,0000;37,723
689,0000;36,606
690,0000;35,8986
691,0000;35,3221
692,0000;34,1548
693,0000;33,0366
694,0000;31,8747
695,0000;30,973
696,0000;29,8969
697,0000;29,0402
698,0000;28,1184
699,0000;27,199
700,0000;26,5402
701,0000;25,6152
702,0000;24,746
703,0000;23,7363
704,0000;23,0321
705,0000;22,481
706,0000;21,6794
707,0000;21,0444
708,0000;20,0897
709,0000;19,6231
710,0000;18,9187
711,0000;18,3634
712,0000;17,7253
713,0000;17,1007
714,0000;16,5875
715,0000;15,8102
716,0000;15,5168
717,0000;14,4578
718,0000;14,0237
719,0000;13,3526
720,0000;12,7178
721,0000;12,1765
722,0000;11,6945
723,0000;11,5389
724,0000;10,7473
725,0000;10,3174
726,0000;10,1742
727,0000;9,80154
728,0000;9,20943
729,0000;9,09076
730,0000;8,77411
731,0000;8,66134
732,0000;8,56094
733,0000;8,59022
734,0000;8,15665
735,0000;8,33266
736,0000;8,10316
737,0000;8,04318
738,0000;7,99557
739,0000;7,92558
740,0000;8,33991
741,0000;8,14888
742,0000;8,19967
743,0000;8,31739
744,0000;8,19295
745,0000;8,47942
746,0000;8,39328
747,0000;8,69935
748,0000;8,85014
749,0000;9,20826
750,0000;9,06635
751,0000;9,51382
752,0000;9,60268
753,0000;9,93947
754,0000;10,0805
755,0000;10,3681
756,0000;10,8102
757,0000;11,4171
758,0000;11,2984
759,0000;12,4415
760,0000;12,0624
761,0000;12,768
762,0000;13,6533
763,0000;13,5534
764,0000;13,9557
765,0000;14,322
766,0000;15,5287
767,0000;15,8377
768,0000;16,5961
769,0000;16,67
770,0000;17,7445
771,0000;17,8041
772,0000;18,5217
773,0000;19,1892
774,0000;19,3961
775,0000;20,142
776,0000;20,4118
777,0000;21,2175
778,0000;22,7696
779,0000;22,4079
780,0000;22,6771
781,0000;23,8627
782,0000;24,1001
783,0000;25,2472
784,0000;25,4637
785,0000;25,3063
786,0000;25,9024
787,0000;25,5565
788,0000;25,6465
789,0000;27,2092
790,0000;27,2319
791,0000;27,3012
792,0000;26,5951
793,0000;26,597
794,0000;26,0491
795,0000;26,602
796,0000;26,2334
797,0000;27,4735
798,0000;26,2037
799,0000;26,1361
800,0000;26,8233
801,0000;-10,2671
802,0000;-10,8047
803,0000;-10,858
804,0000;-11,0568
805,0000;-10,948
806,0000;-11,8928
807,0000;-12,5556
808,0000;-12,6944
809,0000;-12,0057
810,0000;-13,2505
811,0000;-12,752
812,0000;-13,6377
813,0000;-13,5184
814,0000;-14,2047
815,0000;-14,8227
816,0000;-14,7124
817,0000;-15,078
818,0000;-16,0188
819,0000;-15,9164
820,0000;-16,456
821,0000;-16,9975
822,0000;-16,559
823,0000;-16,3714
824,0000;-17,0906
825,0000;-17,0991
826,0000;-17,4191
827,0000;-17,6969
828,0000;-18,5342
829,0000;-17,9888
830,0000;-19,6425
831,0000;-19,2091
832,0000;-19,3892
833,0000;-20,1513
834,0000;-20,178
835,0000;-20,217
836,0000;-21,3205
837,0000;-21,5208
838,0000;-22,2321
839,0000;-22,4361
840,0000;-21,6678
841,0000;-22,6508
842,0000;-23,2256
843,0000;-23,822
844,0000;-23,6826
845,0000;-24,746
846,0000;-24,6016
847,0000;-25,1456
848,0000;-25,8038
849,0000;-26,1227
850,0000;-26,7209
851,0000;-26,3283
852,0000;-26,7827
853,0000;-27,1232
854,0000;-26,3767
855,0000;-27,604
856,0000;-28,3113
857,0000;-28,8279
858,0000;-28,3139
859,0000;-27,7751
860,0000;-28,5377
861,0000;-28,7965
862,0000;-29,3166
863,0000;-29,4409
864,0000;-29,3348
865,0000;-31,0985
866,0000;-31,4469
867,0000;-32,1215
868,0000;-31,9687
869,0000;-32,9405
870,0000;-31,358
871,0000;-33,7581
872,0000;-33,3449
873,0000;-34,7236
874,0000;-34,452
875,0000;-32,5526
876,0000;-34,2802
877,0000;-35,7408
878,0000;-34,5617
879,0000;-36,7924
880,0000;-35,5672
881,0000;-37,4119
882,0000;-35,1366
883,0000;-36,3633
884,0000;-37,5404
885,0000;-37,5757
886,0000;-37,1912
887,0000;-38,4335
888,0000;-37,8909
889,0000;-39,0346
890,0000;-39,9087
891,0000;-40,6411
892,0000;-40,3145
893,0000;-39,5361
894,0000;-38,6816
895,0000;-41,8795
896,0000;-40,3197
897,0000;-44,0457
898,0000;-43,6181
899,0000;-44,2124
900,0000;-47,1917

##### Extended Information
[Comments]
Sample name;TDBC_NaOH_c1_1mmK_em
Comment
User
Division
Company;Microsoft

[Detailed Information]
Creation date;18.03.2014 15:08

Data array type;Linear data array
Horizontal axis;Wavelength [nm]
Vertical axis;Int.
Start;570 nm
End;900 nm
Data interval;1 nm
Data points;331     

[Measurement Information]
Model name;FP-8600
Serial No.;C003561454
  Ex filter holder;None
  Em filter holder;None

Accessory;SCE-846
Accessory S/N;C002561454

Accessory;FDP-837
Accessory S/N;
  Polarizer;Ex 0 degree, Em 0 degree

Measurement date;18.03.2014 15:08

Mode;Emission
Ex bandwidth;5 nm
Em bandwidth;5 nm
Response;0.5 sec
Sensitivity;Low
Measurement range;570 - 900 nm
Data interval;1 nm
Ex wavelength;560.0 nm
Scan speed;100 nm/min
Auto gain;Off
Shutter control;Open only for measurement
Light source;Xe lamp
Filter;Stop scan for exchanging filter
Blank correction;Off
Spectral correction;On
Ex correction data;Ex-PL-Wlamp-P0deg_5nm
Em correction data;Em_Hal-lamp_P0deg_5nm

