TITLE;TDBC_NaOH_c3_em
DATA TYPE;FLUORESCENCE SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;14/03/17
TIME;21:07:03
SPECTROMETER/DATA SYSTEM;
LOCALE;1031
RESOLUTION;
DELTAX;1
XUNITS;NANOMETERS
YUNITS;INTENSITY
FIRSTX;  570,0000
LASTX;  900,0000
NPOINTS;     331
FIRSTY;   622,79913
MAXY; 26015,76563
MINY;     5,96438
XYDATA
570,0000;622,799
571,0000;761,508
572,0000;935,589
573,0000;1150,71
574,0000;1433,45
575,0000;1793,33
576,0000;2252,06
577,0000;2849,67
578,0000;3629,21
579,0000;4622,61
580,0000;5903,55
581,0000;7528,04
582,0000;9514,84
583,0000;11863,2
584,0000;14480,3
585,0000;17309,1
586,0000;20180,8
587,0000;22871,8
588,0000;24996,4
589,0000;26015,8
590,0000;25559,1
591,0000;23482,3
592,0000;20288,1
593,0000;16582,4
594,0000;13032,2
595,0000;10102,4
596,0000;7889,84
597,0000;6308,5
598,0000;5132,73
599,0000;4288,34
600,0000;3632,11
601,0000;3126,63
602,0000;2732,36
603,0000;2432,35
604,0000;2199,31
605,0000;2007,28
606,0000;1848,11
607,0000;1714
608,0000;1610,53
609,0000;1509,28
610,0000;1415,56
611,0000;1334,72
612,0000;1256,34
613,0000;1187,07
614,0000;1128,32
615,0000;1078,8
616,0000;1046,17
617,0000;1011,9
618,0000;987,519
619,0000;967,625
620,0000;947,219
621,0000;933,286
622,0000;918,914
623,0000;902,571
624,0000;888,478
625,0000;877,141
626,0000;862,415
627,0000;848,045
628,0000;826,583
629,0000;797,615
630,0000;761,301
631,0000;725,572
632,0000;680,422
633,0000;635,299
634,0000;593,509
635,0000;559,447
636,0000;528,104
637,0000;500,377
638,0000;470,465
639,0000;445,46
640,0000;414,923
641,0000;387,251
642,0000;358,953
643,0000;330,449
644,0000;302,309
645,0000;272,238
646,0000;245,096
647,0000;220,681
648,0000;196,505
649,0000;176,005
650,0000;154,913
651,0000;142,681
652,0000;128,143
653,0000;117,645
654,0000;108,491
655,0000;102,68
656,0000;98,0306
657,0000;91,5123
658,0000;87,1936
659,0000;85,1309
660,0000;80,5206
661,0000;78,3572
662,0000;73,536
663,0000;71,3561
664,0000;68,6289
665,0000;66,6712
