TITLE;TDBC_NaOH_c5_em
DATA TYPE;FLUORESCENCE SPECTRUM
ORIGIN;JASCO
OWNER;
DATE;14/03/17
TIME;23:50:21
SPECTROMETER/DATA SYSTEM;
LOCALE;1031
RESOLUTION;
DELTAX;1
XUNITS;NANOMETERS
YUNITS;INTENSITY
FIRSTX;  570,0000
LASTX;  900,0000
NPOINTS;     331
FIRSTY;   119,02039
MAXY;  3049,04688
MINY;    69,58742
XYDATA
570,0000;119,02
571,0000;124,06
572,0000;130,53
573,0000;135,409
574,0000;141,983
575,0000;151,249
576,0000;164,226
577,0000;178,997
578,0000;195,934
579,0000;234,411
580,0000;276,585
581,0000;331,27
582,0000;406,974
583,0000;502,508
584,0000;602,917
585,0000;721,127
586,0000;810,308
587,0000;875,079
588,0000;857,37
589,0000;814,226
590,0000;724,083
591,0000;589,228
592,0000;472,699
593,0000;373,558
594,0000;298,278
595,0000;246,97
596,0000;199,354
597,0000;172,513
598,0000;151,694
599,0000;140,43
600,0000;128,257
601,0000;116,435
602,0000;112,576
603,0000;107,291
604,0000;102,864
605,0000;94,2055
606,0000;95,0222
607,0000;94,0833
608,0000;92,1939
609,0000;92,4402
610,0000;89,4014
611,0000;82,4542
612,0000;84,4589
613,0000;85,8492
614,0000;81,7055
615,0000;82,0161
616,0000;78,8679
617,0000;80,7475
618,0000;81,8107
619,0000;81,3486
620,0000;79,0163
621,0000;77,1093
622,0000;78,7826
623,0000;82,6122
624,0000;78,0883
625,0000;78,2819
626,0000;74,0569
627,0000;76,0949
628,0000;76,3593
629,0000;76,569
630,0000;78,9746
631,0000;80,5283
632,0000;76,4567
633,0000;76,72
634,0000;71,3162
635,0000;76,7551
636,0000;72,6889
637,0000;78,3992
638,0000;75,2902
639,0000;73,8961
640,0000;70,4092
641,0000;73,7588
642,0000;69,6166
643,0000;77,791
644,0000;76,3935
645,0000;75,8649
646,0000;75,319
647,0000;73,967
648,0000;73,5554
649,0000;75,4976
650,0000;75,1065
651,0000;69,5874
652,0000;77,3835
653,0000;71,2498
654,0000;77,3192
655,0000;80,7753
656,0000;77,284
657,0000;79,1086
658,0000;80,755
659,0000;83,9668
660,0000;83,1973
661,0000;76,2423
662,0000;86,1897
663,0000;84,4954
664,0000;86,8613
665,0000;80,56
666,0000;82,2053
667,0000;79,7903
668,0000;94,6296
669,0000;88,0013
670,0000;88,3102
671,0000;91,5311
672,0000;99,9185
673,0000;97,8337
674,0000;98,5672
675,0000;99,0327
676,0000;98,6863
677,0000;94,5092
678,0000;110,807
679,0000;100,049
680,0000;95,2179
681,0000;102,377
682,0000;100,047
683,0000;115,006
684,0000;102,248
685,0000;110,867
686,0000;111,338
687,0000;116,37
688,0000;119,258
689,0000;126,034
690,0000;121,186
691,0000;130,273
692,0000;131,607
693,0000;119,688
694,0000;117,674
695,0000;133,364
696,0000;126,387
697,0000;128,723
698,0000;142,428
699,0000;139,355
700,0000;138,639
701,0000;148,93
702,0000;140,408
703,0000;141,893
704,0000;133,523
705,0000;147,19
706,0000;132,434
707,0000;139,29
708,0000;143,121
709,0000;149,603
710,0000;158,444
711,0000;150,826
712,0000;151,026
713,0000;143,781
714,0000;155,648
715,0000;160,704
716,0000;174,089
717,0000;167,423
718,0000;165,715
719,0000;167,653
720,0000;171,36
721,0000;177,403
722,0000;175,026
723,0000;186,078
724,0000;188,614
725,0000;196,374
726,0000;203,67
727,0000;197,992
728,0000;180,636
729,0000;202,854
730,0000;210,441
731,0000;195,31
732,0000;211,681
733,0000;238,841
734,0000;209,223
735,0000;217,695
736,0000;232,507
737,0000;226,953
738,0000;231,209
739,0000;222,647
740,0000;255,44
741,0000;237,937
742,0000;251,984
743,0000;250,287
744,0000;262,766
745,0000;248,425
746,0000;258,708
747,0000;266,898
748,0000;281,803
749,0000;277,194
750,0000;292,78
751,0000;273,486
752,0000;300,845
753,0000;301,383
754,0000;300,87
755,0000;329,448
756,0000;310,351
757,0000;313,107
758,0000;323,541
759,0000;352,96
760,0000;335,491
761,0000;344,86
762,0000;334,268
763,0000;352,608
764,0000;363,947
765,0000;383,599
766,0000;374,539
767,0000;405,323
768,0000;406,138
769,0000;425,782
770,0000;406,976
771,0000;459,702
772,0000;434,969
773,0000;428,728
774,0000;473,984
775,0000;471,837
776,0000;468,127
777,0000;441,669
778,0000;474,255
779,0000;507,85
780,0000;482,287
781,0000;509,645
782,0000;504,578
783,0000;555,995
784,0000;520,235
785,0000;605,373
786,0000;607,141
787,0000;581,028
788,0000;568,362
789,0000;593,367
790,0000;575,135
791,0000;601,014
792,0000;622,037
793,0000;662,63
794,0000;736,212
795,0000;691,497
796,0000;646,613
797,0000;715,432
798,0000;724,49
799,0000;714,809
800,0000;767,789
801,0000;718,629
802,0000;726,813
803,0000;731,643
804,0000;820,704
805,0000;773,623
806,0000;818,907
807,0000;844,662
808,0000;834,447
809,0000;864,196
