	0				0					0					0
   1.0000000e-01   1.1100000e+00             NaN   2.0300000e+00
   1.5000000e-01   1.6900000e+00             NaN             NaN
   2.0000000e-01   2.2700000e+00   1.3500000e+00   3.7000000e+00
   2.5000000e-01   2.8200000e+00             NaN             NaN
   3.0000000e-01   3.3700000e+00   2.0300000e+00   5.1000000e+00
   4.0000000e-01   4.3000000e+00   2.7000000e+00   5.9700000e+00
   5.0000000e-01   5.0700000e+00   3.3400000e+00   6.3600000e+00
   6.0000000e-01   5.7100000e+00   3.8900000e+00   6.3800000e+00
   6.5000000e-01   6.0400000e+00             NaN             NaN
   7.0000000e-01   6.3000000e+00   4.3400000e+00   5.9100000e+00
   7.5000000e-01   6.5400000e+00   4.5500000e+00   5.7300000e+00
   8.0000000e-01   6.8000000e+00   4.7500000e+00   5.5000000e+00
   9.0000000e-01   7.1300000e+00   5.0300000e+00   5.1900000e+00
   1.0000000e+00   7.1900000e+00   5.0800000e+00   5.0800000e+00
